domain,status,live_listings
hlres.com,live,16060
tericavanaugh.com,live,21174
elliman.com,live,1660
bohemiarealtygroup.com,live,366
corcoran.com,live,311
linknyrealty.com,development,0
realtyconnectiongroup.com,live,627
awayerealty.com,live,59
bondnewyork.com,development,0
nyrentownsell.com,live,0
spareroom.com,live,6987
hshprop.com,live,99
brooklyngroup.com,live,992
rentinmanhattan.net,development,0
danielgale.com,live,475
metropolitanpropertygroup.com,live,0
libertyrealty.com,live,986
rentler.com,live,373
nooklyn.com,live,613
carollorentals.com,live,488
homesbykinga.com,live,0
nycityapartment.com,live,430
hillelrealtygroup.com,live,269
propertyclub.nyc,live,294
offcampushousing.ucsd.edu,live,514
apartmentlove.com,testing,0
chasegr.com,testing,0
smartlarealty.com,live,0
apt212.com,live,288
search.helloaya.com,testing,0
downtownlacondoslofts.com,live,0
greenteamrealty.com,live,3228
moveskyward.com,live,194
alphanyc.com,live,90
magnumres.com,live,0
re.cr,live,148
centpropny.com,live,142
myspacenyc.com,live,0
availablerentals.bfpminc.com,live,0
ziprent.com,live,112
openforhomes.com,live,341
pullinirealty.com,live,108
listings.gatewayarmsrealty.com,live,25
brickandmortar.com,live,0
cirtru.com,live,73
intempuspropertymanagement.com,testing,0
laphamcompany.com,live,109
pabstkinney.com,live,42
hignellrentals.com,live,22
lrspropertymanagement.com,live,57
redoakprop.com,live,0
ccrny.com,live,130
ernstandhaas.com,live,47
pacificlistings.com,live,84
codarealestatenyc.com,live,56
1898leasing.com,live,20
regencyfresno.com,live,8
relatedrentals.com,live,65
villagelivingrentals.com,live,14
groomerealtyny.com,live,0
tdipropertiesinc.com,live,36
createbecomeimagine.com,live,8
sullivanpm.com,live,0
modernspacesnyc.com,live,21
relisto.com,live,27
realtorneeta.com,testing,0
coldwellbankerhomes.com,live,7
tahoetruckeevacations.com,live,17
brooklynhr.com,live,26
nycasas.com,testing,0
lotuspropertyservices.net,live,9
rentalsource.com,live,0
hpmrentals.com,live,12
urban-sanctuary.net,live,11
nmsresidential.com,live,16
tridentproperty.com,live,15
coastlinerea.com,live,19
mesaproperties.net,live,20
screm.com,live,20
dandreacraigrealty.com,live,4
regieprivee.ch,testing,0
howardmanagement.com,live,31
drakereg.com,live,25
prcmanagementservices.com,live,16
mcmprop.com,live,20
california-west.com,live,106
chicagospropertymanagement.com,live,6
pspmla.com,live,6
beachcitiesmanagement.com,live,1
willowsrentals.com,live,5
jbackergroup.com,live,15
indianroommates.sulekha.com,live,101
countryhouserealty.com,live,84
rentcwp.com,live,17
cvpm.com,live,6
rpmsouthland.com,pending,0
calwestern.com,live,19
hpmla.com,live,10
castoriarealestate.com,live,0
apmlease.com,live,29
mpghousing.com,live,15
sternmanagement.com,live,0
langrealtyny.com,live,0
havenrents.com,live,12
firstraterentals.net,live,11
mabrymgmt.com,live,4
calwestrents.com,live,11
nolitagroup.com,live,0
twotreesny.com,live,0
rohcsmanagement.com,live,13
hcmpm.com,live,15
vippropertyinc.com,live,14
orionhousing.com,live,0
sunbearrealty.com,live,6
mashcole.com,live,163
firstchoicepropmgt.com,live,29
cabesthomes.com,live,20
lakecounty-realestate.com,live,0
manhattanflats.net,live,0
gonellarentals.com,live,14
smithhanten.com,live,5
benbayre.com,live,3
actionproperties.us,live,2
waldrealestate.com,live,1
consensyspm.com,live,16
weichert.com,live,3
bermanrealty.com,live,11
rentinginlosangeles.com,live,6
byowner.com,live,0
stepuprentals.com,live,6
managementone.com,live,6
properties.hantangrealty.com,live,9
six-rivers.com,live,3
ericgoodmanrealty.com,live,0
valleyoakca.com,live,4
libertypropertymanagement.com,live,0
gcrealtyinc.com,live,5
blueoakchico.com,live,19
cobwebhousing.it,live,7
bedford6.com,live,8
gfplaketahoe.com,live,5
native-realestate.com,live,0
tahoevacationrentals.com,live,46
garfieldbrooklyn.com,live,1
thomasrealtors.net,live,3
951rents.com,live,0
rentpms.com,live,7
realtydirectny.com,live,0
goteamboyd.com,live,1
homerentalsla.com,live,0
tiaoproperties.com,live,4
jenkinspropertymanagement.com,live,3
findmyneighborhood.com,testing,0
thechouteam.com,live,0
junehomes.com,live,1273
reactionrealty.com,testing,0
performancerents.com,live,9
hbrentals.net,live,5
abacusproperties.com,live,0
ncpropertygroup.com,live,21
borellirealestate.com,live,9
rentfresno.com,live,3
sgpmrentals.com,live,0
actionapartments.com,live,4
veryzaya.com,live,0
propertymanagementpro.net,live,0
luxuryapartmentslic.com,live,0
landlordspm.com,live,2
zell.com,testing,0
smceastbay.rentlinx.com,live,0
lotusproperties.com,live,0
landmarkcalifornia.com,live,8
devinerealty.com,live,0
beverlyrealty.com,live,0
meritrealestate.com,live,5
evergreenpropservices.managebuilding.com,live,1
essentialnewyork.com,live,3
hendersonproperties.com,live,24
gaulerrealty.com,live,3
homes.vipteamrealestate.com,live,6
apartmentsexpert.com,live,5
sdppm.com,live,2
tahoerentals.com,live,2
cornerstonepropertymgmt.com,live,2
tlcrefs.com,live,1
advantagepropmgmt.com,live,0
dppre.com,live,0
americanproperties.net,testing,0
meritgroupassociates.com,live,3
jakejohnsonproperties.com,live,8
sdrsm.com,live,15
fischergrouprealty.com,live,1
716renter.com,live,40
ingeniousassetgroup.com,live,8
sdlrealestate.com,live,2
teamforss.com,live,10
adanalian.com,live,11
pennyrealty.com,live,0
buffalocityliving.managebuilding.com,live,1
southbayrental.com,live,3
arrowrealestategroup.com,live,7
boardwalkrents.com,live,0
copperwoodnyc.com,pending,0
radkeagency.com,live,0
palazzorealtyinc.com,live,8
villarentalsinc.com,live,0
westsacrentals.com,live,14
gemini.realestate,live,0
eimproperties.com,live,24
cayennerealtygroup.com,live,0
tahoenorthrentals.com,live,2
vueresidential.com,live,2
affordablehousing.com,live,326
calibernyc.com,live,0
townehousingrealestate.managebuilding.com,testing,0
