domain,status,live_listings
tericavanaugh.com,live,0
corcoran.com,live,0
metropolitanpropertygroup.com,live,0
homesbykinga.com,live,0
hillelrealtygroup.com,live,0
smartlarealty.com,live,0
downtownlacondoslofts.com,live,0
alphanyc.com,live,0
magnumres.com,live,0
centpropny.com,live,0
availablerentals.bfpminc.com,live,0
brickandmortar.com,live,0
redoakprop.com,live,0
groomerealtyny.com,live,0
sullivanpm.com,live,0
rentalsource.com,live,0
sternmanagement.com,live,0
langrealtyny.com,live,0
nolitagroup.com,live,0
twotreesny.com,live,0
orionhousing.com,live,0
lakecounty-realestate.com,live,0
byowner.com,live,0
ericgoodmanrealty.com,live,0
libertypropertymanagement.com,live,0
bedford6.com,live,0
native-realestate.com,live,0
garfieldbrooklyn.com,live,0
951rents.com,live,0
realtydirectny.com,live,0
homerentalsla.com,live,0
thechouteam.com,live,0
abacusproperties.com,live,0
propertymanagementpro.net,live,0
veryzaya.com,live,0
luxuryapartmentslic.com,live,0
smceastbay.rentlinx.com,live,0
beverlyrealty.com,live,0
devinerealty.com,live,0
evergreenpropservices.managebuilding.com,live,0
advantagepropmgmt.com,live,0
dppre.com,live,0
fischergrouprealty.com,live,0
pennyrealty.com,live,0
southbayrental.com,live,0
villarentalsinc.com,live,0
radkeagency.com,live,0
boardwalkrents.com,live,0
cayennerealtygroup.com,live,0
gemini.realestate,live,0
calibernyc.com,live,0
