spider_name,running_time,No of Errors,ERROR,log_link
ejpr_co_uk,0:00:56,12,2023-01-07 00:08:52 [scrapy.core.scraper] ERROR: Spider error processing <GET https://www.ejpr.co.uk/property/residential/for-rent/essex/buckhurst-hill/epping-new-road/GEM29735814> (referer: https://www.ejpr.co.uk/Search?listingType=6&statusids=1&obc=Price&obd=Descending&areadata=&areaname=&radius=&bedrooms=&minprice=&maxprice=),https://scrapyd.rentola.tech/0/logs/python_spiders/ejpr_co_uk/436e70b48e1f11edb4d8b294b8421b3c.log
hudiksvallsbostader_se,0:00:47,1,2023-01-07 00:08:07 [scrapy.downloadermiddlewares.retry] ERROR: Gave up retrying <GET https://www.hudikhem.se/ledigt/lagenhet> (failed 4 times): 404 Not Found,https://scrapyd.rentola.tech/0/logs/python_spiders/hudiksvallsbostader_se/4305e5e48e1f11edb4d8b294b8421b3c.log
homeemperor_pl,0:00:38,1,2023-01-07 00:09:05 [scrapy.downloadermiddlewares.retry] ERROR: Gave up retrying <GET https://www.homeemperor.pl/brak_strony> (failed 4 times): 404 Not Found,https://scrapyd.rentola.tech/0/logs/python_spiders/homeemperor_pl/43af22a88e1f11edb4d8b294b8421b3c.log
prdtam_com_au,0:01:40,1,2023-01-07 00:09:05 [scrapy.downloadermiddlewares.retry] ERROR: Gave up retrying <GET https://www.prd.com.au/tamworth/property-search/?listing_type=Lease&property_status=Available&page=3> (failed 4 times): 404 Not Found,https://scrapyd.rentola.tech/0/logs/python_spiders/prdtam_com_au/431b26348e1f11edb4d8b294b8421b3c.log
dekeizer_nl,0:00:39,2,2023-01-07 00:08:48 [scrapy.downloadermiddlewares.retry] ERROR: Gave up retrying <GET https://www.dekeizer.nl/woningaanbod/huur/type-woonhuis?orderby=9> (failed 4 times): 404 Not Found,https://scrapyd.rentola.tech/0/logs/python_spiders/dekeizer_nl/4368c33a8e1f11edb4d8b294b8421b3c.log
firstnationalepping_com_au,0:01:02,2,2023-01-07 00:08:21 [scrapy.core.scraper] ERROR: Spider error processing <GET https://www.firstnationalepping.com.au/real-estate/1068037/2-26-28-oxford-street-epping-nsw-2121> (referer: https://www.firstnationalepping.com.au/lease),https://scrapyd.rentola.tech/0/logs/python_spiders/firstnationalepping_com_au/43183e4c8e1f11edb4d8b294b8421b3c.log
stoit_nl,0:00:51,10,2023-01-07 00:08:17 [scrapy.core.scraper] ERROR: Spider error processing <GET https://www.stoit.nl/en/eindhoven/volderhof-9> (referer: https://www.stoit.nl/en/aarlerixtel?type-of-residence=23&furnished=All&surface=All&bedrooms=All&min-price=All&max-price=All&sort_by=field_geo_location_latlon),https://scrapyd.rentola.tech/0/logs/python_spiders/stoit_nl/4364e0448e1f11edb4d8b294b8421b3c.log
bereswill_at,0:00:46,2,2023-01-07 00:08:16 [scrapy.core.scraper] ERROR: Error downloading <GET https://www.bereswill.at/immobilien?f%5Ball%5D%5Bmarketing_type%5D=rent&f%5Ball%5D%5Brealty_type%5D%5B0%5D=2&f%5Ball%5D%5Brealty_type%5D%5B1%5D=3&from=511706>,https://scrapyd.rentola.tech/0/logs/python_spiders/bereswill_at/436785f68e1f11edb4d8b294b8421b3c.log
tlee_com_au,0:00:51,5,2023-01-07 00:08:15 [scrapy.core.scraper] ERROR: Spider error processing <GET https://www.tlee.com.au/property/1054/3---7-st-clair-cres-mount-waverley-vic> (referer: https://www.tlee.com.au/propertiesJson?&currentPage=1&perPage=12&sort=d_listing%20desc&listing_cat=rental),https://scrapyd.rentola.tech/0/logs/python_spiders/tlee_com_au/433c12368e1f11edb4d8b294b8421b3c.log
morrispropertymanagement_co_uk,0:00:32,1,2023-01-07 06:10:16 [scrapy.downloadermiddlewares.retry] ERROR: Gave up retrying <GET https://www.morrispropertymanagement.co.uk/rental-properties> (failed 4 times): 404 Not Found,https://scrapyd.rentola.tech/0/logs/python_spiders/morrispropertymanagement_co_uk/a43893a28e1f11edb4d8b294b8421b3c.log
harsun_co_uk,0:00:39,18,2023-01-07 06:09:58 [scrapy.core.scraper] ERROR: Spider error processing <GET https://www.harsun.co.uk/1-bedroom-studio-flatapartment-property-under-offer-villiers-road-willesden-green-nw2-5pu-nw2-id-HAR-GSM11MGVPF> (referer: None),https://scrapyd.rentola.tech/0/logs/python_spiders/harsun_co_uk/a41842be8e1f11edb4d8b294b8421b3c.log
